entityCode,entityName,municipalityCode,municipalityName,avgLat,avgLon,popCenterLat,popCenterLon,13-04-20,14-04-20,15-04-20,16-04-20,17-04-20,18-04-20,19-04-20,20-04-20,21-04-20,22-04-20,23-04-20,24-04-20,25-04-20,26-04-20,27-04-20,28-04-20,29-04-20,30-04-20,01-05-20,02-05-20,03-05-20,04-05-20
20,Oaxaca,471,Santiago Lalopa,17.4172715,-96.25106550000001,17.417959,-96.248592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,472,Santiago Laollaga,16.62182542857143,-95.23602000000001,16.584887,-95.204579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,473,Santiago Laxopa,17.224304,-96.30504200000001,17.219758,-96.313396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,474,Santiago Llano Grande,16.493647285714285,-98.27662614285714,16.489426,-98.289669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,475,Santiago Matatlán,16.830739368421053,-96.43900015789474,16.802817,-96.439684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,476,Santiago Miltepec,17.9870125,-97.69115900000001,17.984733,-97.689289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,477,Santiago Minas,16.438109571428573,-97.24339378571428,16.426183,-97.228153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,478,Santiago Nacaltepec,17.533699823529414,-96.92592305882351,17.505474,-96.916496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,479,Santiago Nejapilla,17.41976,-97.37405279999999,17.420284,-97.372616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,480,Santiago Nundiche,17.344009999999997,-97.66989668749997,17.340703,-97.705833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,481,Santiago Nuyoó,17.010089875,-97.7505511875,17.015173,-97.766539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,482,Santiago Pinotepa Nacional,16.278316902439023,-98.0995016707317,16.339009,-98.050348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,483,Santiago Suchilquitongo,17.247803076923077,-96.86836707692308,17.247126,-96.873686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,Oaxaca,484,Santiago Tamazola,17.722077,-98.2127867777778,17.669309,-98.2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,485,Santiago Tapextla,16.327175750000002,-98.485710875,16.34097,-98.447474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,486,Villa Tejúpam de la Unión,17.662933600000002,-97.46088220000001,17.667088,-97.473521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,487,Santiago Tenango,17.30350623529412,-96.99673470588236,17.324921,-97.004104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,488,Santiago Tepetlapa,17.785834,-97.40000574999999,17.782596,-97.401536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,489,Santiago Tetepec,16.3494114375,-97.68934200000001,16.322271,-97.748254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,490,Santiago Texcalcingo,18.214567444444445,-96.97368211111112,18.206413,-96.98434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,491,Santiago Textitlán,16.702896862068965,-97.27965962068964,16.666133,-97.256651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,492,Santiago Tilantongo,17.248014541666667,-97.34337162500002,17.283077,-97.339804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,493,Santiago Tillo,17.46491290909091,-97.31999572727273,17.460285,-97.319723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,494,Santiago Tlazoyaltepec,17.027345109375,-96.96956056249999,16.974141,-97.085993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,495,Santiago Xanica,16.004877940000004,-96.24786241999996,16.010142,-96.154712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,496,Santiago Xiacuí,17.274821199999998,-96.42408899999998,17.266406,-96.417582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,497,Santiago Yaitepec,16.193983428571432,-97.24520157142858,16.225571,-97.26936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,498,Santiago Yaveo,17.548674822134398,-95.42235437944662,17.351247,-95.663481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,499,Santiago Yolomécatl,17.465595250000003,-97.57103025,17.470933,-97.56975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,500,Santiago Yosondúa,16.85274606976745,-97.55328130232556,16.873377,-97.576609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,501,Santiago Yucuyachi,17.614851,-98.20424366666667,17.614199,-98.233864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,502,Santiago Zacatepec,17.190513999999997,-95.88388773913043,17.159395,-95.914962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,503,Santiago Zoochila,17.220566,-96.242139,17.220566,-96.242139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,504,Nuevo Zoquiápam,17.2840515,-96.62157250000001,17.291322,-96.619984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,505,Santo Domingo Ingenio,16.575265249999998,-94.73268766666666,16.588492,-94.76863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,506,Santo Domingo Albarradas,17.0700252,-96.1950244,17.068044,-96.200094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,507,Santo Domingo Armenta,16.326009199999998,-98.36438840000002,16.332972,-98.378152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,508,Santo Domingo Chihuitán,16.595844384615383,-95.16833846153848,16.591886,-95.162369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,509,Santo Domingo de Morelos,15.834369388888888,-96.64500944444444,15.833004,-96.668076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,510,Santo Domingo Ixcatlán,16.9099361,-97.5303177,16.913927,-97.531934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,511,Santo Domingo Nuxaá,17.17249983870968,-97.06532516129035,17.177279,-97.099466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,512,Santo Domingo Ozolotepec,16.168127666666667,-96.32737866666668,16.150868,-96.310399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,513,Santo Domingo Petapa,16.878119249999997,-95.2098601875,16.820669,-95.140423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,514,Santo Domingo Roayaga,17.334911,-96.08950933333334,17.337631,-96.114573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,515,Santo Domingo Tehuantepec,16.253552305263156,-95.31359694736838,16.332058,-95.232049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,516,Santo Domingo Teojomulco,16.57854917647059,-97.27869335294116,16.589403,-97.226188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,517,Santo Domingo Tepuxtepec,16.936502851851852,-96.06856237037037,16.956887,-96.055406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,518,Santo Domingo Tlatayápam,17.405805666666666,-97.34743966666666,17.407468,-97.347023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,519,Santo Domingo Tomaltepec,17.0510364,-96.62008900000001,17.06042,-96.624358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,520,Santo Domingo Tonalá,17.6838912,-98.0101829,17.674612,-97.963932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,521,Santo Domingo Tonaltepec,17.604621374999997,-97.355428125,17.594526,-97.366639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,522,Santo Domingo Xagacía,17.153120666666666,-96.25905666666665,17.155543,-96.267961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,523,Santo Domingo Yanhuitlán,17.532838100000003,-97.35330950000001,17.528043,-97.342309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,524,Santo Domingo Yodohino,17.616886,-97.683022,17.616886,-97.683022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,525,Santo Domingo Zanatepec,16.472567597402602,-94.35174316883119,16.482804,-94.353903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,526,Santos Reyes Nopala,16.09332919298246,-97.19320777192982,16.106764,-97.144447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,527,Santos Reyes Pápalo,17.797130666666664,-96.874185,17.804657,-96.860878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,528,Santos Reyes Tepejillo,17.43838284210526,-97.93386384210527,17.437756,-97.938323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,529,Santos Reyes Yucuná,17.7754594,-98.00098719999998,17.777741,-98.004527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,530,Santo Tomás Jalieza,16.855937333333333,-96.65668783333332,16.869513,-96.629235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,531,Santo Tomás Mazaltepec,17.173527,-96.871533,17.173527,-96.871533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,532,Santo Tomás Ocotepec,17.1238841875,-97.7735775,17.134724,-97.780811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,533,Santo Tomás Tamazulapan,16.237699,-96.56701775,16.272034,-96.585829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,534,San Vicente Coatlán,16.378363333333336,-96.84556049999999,16.386886,-96.844954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
